tpep_pickup_datetime,trip_distance,passenger_count,PULocationID,DOLocationID,fare_amount
2026-01-30 19:14:27,11.7,1.0,76,86,39.5
2026-01-07 20:21:54,0.9,1.0,113,234,8.6
2026-01-22 12:43:05,3.3,1.0,142,107,25.4
2026-01-23 16:05:42,0.94,1.0,237,236,9.3
2026-01-26 18:03:26,0.63,1.0,68,68,5.8
2026-01-06 12:06:47,0.5,1.0,237,229,7.9
2026-01-18 00:07:44,0.37,5.0,158,249,5.1
2026-01-17 21:27:56,1.01,1.0,90,246,7.2
2026-01-20 12:52:43,2.7,1.0,68,162,24.0
2026-01-09 14:49:06,12.3,1.0,76,145,37.5
2026-01-06 08:31:41,1.3,1.0,137,100,12.1
2026-01-20 23:28:07,18.25,1.0,132,164,70.0
2026-01-08 14:36:49,4.07,1.0,246,263,28.2
2026-01-05 14:06:12,0.98,1.0,137,233,7.9
2026-01-19 18:29:02,1.19,2.0,170,68,10.7
2026-01-03 09:52:08,0.69,1.0,263,236,7.2
2026-01-20 17:17:37,0.31,1.0,239,142,4.4
2026-01-08 18:03:19,1.16,1.0,143,230,7.2
2026-01-01 19:42:37,1.05,1.0,90,114,7.9
2026-01-19 12:49:20,2.25,1.0,24,142,13.5
2026-01-20 12:37:48,17.0,1.0,155,41,67.5
2026-01-20 08:53:21,0.4,1.0,229,162,7.9
2026-01-21 08:50:58,3.72,2.0,75,75,23.3
2026-01-31 18:00:12,1.7,2.0,186,162,23.3
2026-01-11 21:49:21,2.38,2.0,148,137,14.2
2026-01-22 23:17:52,17.25,1.0,70,139,64.6
2026-01-16 09:25:53,1.3,1.0,186,249,8.6
2026-01-21 16:32:37,2.84,1.0,163,238,17.7
2026-01-21 13:14:59,20.3,1.0,140,132,70.0
2026-01-23 19:20:45,1.29,1.0,68,233,14.9
2026-01-08 18:12:41,3.3,1.0,13,186,19.8
2026-01-28 15:33:12,0.76,1.0,125,90,7.2
2026-01-18 16:07:29,0.2,1.0,236,263,4.4
2026-01-09 19:56:47,1.3,1.0,186,48,11.4
2026-01-14 19:12:40,1.22,1.0,40,181,10.7
2026-01-26 16:19:43,1.04,1.0,236,237,9.3
2026-01-20 09:04:10,1.66,1.0,262,237,14.2
2026-01-27 12:58:30,1.53,4.0,166,239,12.8
2026-01-27 11:14:29,0.67,1.0,236,237,10.0
2026-01-03 00:52:26,9.2,3.0,132,198,40.8
2026-01-09 10:52:17,1.6,1.0,249,231,10.0
2026-01-09 20:09:20,0.72,1.0,262,140,6.5
2026-01-11 06:14:55,2.3,1.0,142,140,12.8
2026-01-31 18:03:48,0.9,1.0,186,170,10.7
2026-01-06 21:52:01,1.02,3.0,211,158,7.2
2026-01-24 22:48:18,2.25,1.0,170,79,16.3
2026-01-18 16:57:05,0.44,1.0,237,237,4.4
2026-01-24 15:48:56,2.4,1.0,249,161,18.4
2026-01-31 17:28:12,2.69,2.0,263,170,19.8
2026-01-03 13:06:05,2.2,1.0,144,13,14.2
2026-01-16 10:39:04,1.28,1.0,237,236,15.6
2026-01-11 16:40:34,2.54,1.0,151,142,14.2
2026-01-15 09:08:09,2.23,1.0,143,262,15.6
2026-01-21 15:41:38,1.17,1.0,237,237,10.7
2026-01-19 18:36:54,0.53,1.0,262,263,7.9
2026-01-04 20:34:16,1.33,2.0,230,239,9.3
2026-01-05 11:08:01,0.64,2.0,140,237,7.9
2026-01-09 09:09:20,6.0,1.0,159,161,29.5
2026-01-13 14:28:54,1.2,1.0,161,237,10.7
2026-01-30 17:04:12,0.65,2.0,234,164,7.2
2026-01-24 14:55:56,1.05,1.0,143,50,8.6
2026-01-22 13:23:13,1.92,1.0,68,170,19.8
2026-01-13 19:32:53,5.4,1.0,211,239,25.4
2026-01-10 09:06:05,1.7,1.0,142,162,10.0
2026-01-30 13:57:24,0.86,1.0,90,234,7.9
2026-01-22 09:31:15,0.3,1.0,263,236,5.1
2026-01-29 12:43:24,15.73,1.0,162,132,70.0
2026-01-02 20:54:21,16.6,1.0,230,51,51.5
2026-01-06 18:00:45,0.38,1.0,236,43,4.4
2026-01-18 00:20:01,1.7,1.0,236,239,10.0
2026-01-07 20:05:32,6.06,1.0,132,130,26.1
2026-01-10 10:57:42,2.69,1.0,237,50,17.0
2026-01-17 10:28:14,1.25,1.0,43,239,9.3
